node1	node2	cs1	cs2	Q_ID
698956	817188	1	1	9745249
698956	660739	1	1	9745249
698956	666418	1	1	9745249
743061	803965	1	1	9746942
381774	564084	1	1	9746964
381774	579624	1	1	9746964
724451	760405	1	1	9747184
724451	797032	1	1	9747184
524720	808460	1	1	9747227
524720	810380	1	1	9747227
524720	805524	1	1	9747227
524720	768166	1	1	9747227
524720	802293	1	1	9747227
794395	816325	1	1	9747254
653648	550371	1	1	9747362
653648	592058	1	1	9747362
653648	599212	1	1	9747362
769178	694551	1	1	9747442
769178	363556	1	1	9747442
769178	691837	1	1	9747442
769178	784392	1	1	9747442
769178	775420	1	1	9747442
769178	259395	1	1	9747442
769178	804290	1	1	9747442
769178	769178	1	1	9747442
769178	771989	1	1	9747442
557068	548677	1	1	9747512
557068	684673	1	1	9747512
557068	705537	1	1	9747512
532704	710641	1	1	9747893
724971	575954	1	1	9747935
262989	751258	1	1	9747997
816118	817360	1	1	9748127
641417	815666	1	1	9748229
503431	752038	1	1	9748322
503431	755905	1	1	9748322
503431	717841	1	1	9748322
618898	717841	1	1	9748358
739991	547964	1	1	9748560
630093	599212	1	1	9748757
460913	469234	1	1	9748787
460913	523129	1	1	9748787
460913	513402	1	1	9748787
460913	217284	1	1	9748847
739702	410854	1	1	9748877
523914	814421	1	1	9748885
313551	313551	1	1	9748888
313551	795571	1	1	9748888
313551	797032	1	1	9748888
313551	469234	1	1	9748888
668969	490668	1	1	9748903
668969	817151	1	1	9748903
668969	748263	1	1	9748903
663868	817021	1	1	9748988
663868	405585	1	1	9748988
663868	813757	1	1	9748988
709001	734244	1	1	9749164
709001	523914	1	1	9749164
278239	696968	1	1	9749311
759898	749354	1	1	9749362
759898	738065	1	1	9749362
759898	806829	1	1	9749362
759898	763698	1	1	9749362
759898	726192	1	1	9749362
564478	564478	1	1	9749405
564478	816721	1	1	9749405
273225	804290	1	1	9749451
273225	802281	1	1	9749451
749354	759898	1	1	9749477
749354	780960	1	1	9749477
749354	674476	1	1	9749477
749354	794592	1	1	9749477
749354	639154	1	1	9749477
814718	599212	1	1	9749507
814718	786291	1	1	9749507
814718	639819	1	1	9749507
475684	684931	1	1	9749603
748283	708817	1	1	9750066
748283	749188	1	1	9750066
748283	801726	1	1	9750066
805871	711551	1	1	9750161
628280	817101	1	1	9750244
705537	817449	1	1	9750281
651414	814718	1	1	9750307
42132	500161	1	1	9750412
42132	647918	1	1	9750412
773455	763629	1	1	9750468
654110	539497	1	1	9750708
582060	494714	1	1	9750742
582060	539497	1	1	9750742
582060	711551	1	1	9750742
654110	816161	1	1	9751006
811863	580050	1	1	9751024
709385	717694	1	1	9751060
668457	696968	1	1	9751391
668457	377995	1	1	9751391
749144	663322	1	1	9751393
749144	806503	1	1	9751393
749144	806503	1	1	9751393
749144	663322	1	1	9751393
698688	814421	1	1	9751407
698688	668457	1	1	9751407
406923	692168	1	1	9751427
739991	815262	1	1	9751440
739991	736556	1	1	9751440
668457	643933	1	1	9751471
490267	797293	1	1	9751551
490267	786492	1	1	9751551
808675	651414	1	1	9751674
725290	529829	1	1	9751947
779957	788028	1	1	9751952
779957	788028	1	1	9751952
779957	455673	1	1	9751952
779957	418054	1	1	9751952
779957	653686	1	1	9751952
749774	687884	1	1	9751973
749774	797032	1	1	9751973
786492	634458	1	1	9752156
786492	444515	1	1	9752156
743885	682347	1	1	9752213
743885	582877	1	1	9752213
363180	817394	1	1	9752277
363180	705160	1	1	9752277
285024	724451	1	1	9752282
285024	787666	1	1	9752282
816178	816270	1	1	9752407
816178	816270	1	1	9752407
770510	409745	1	1	9752500
267664	739274	1	1	9752576
804394	720604	1	1	9752580
600651	409745	1	1	9752583
600651	814051	1	1	9752583
702991	814718	1	1	9752645
702991	495054	1	1	9752645
702991	592058	1	1	9752645
817273	818455	1	1	9752701
817273	818455	1	1	9752701
655506	239643	1	1	9752816
802091	818569	1	1	9752962
765990	699891	1	1	9753211
765990	411924	1	1	9753211
598624	485992	1	1	9753360
243418	732707	1	1	9753372
812003	789255	1	1	9753381
684612	786053	1	1	9753395
816178	713406	1	1	9753442
600651	815526	1	1	9753452
701620	421540	1	1	9754116
701620	687954	1	1	9754116
663433	608250	1	1	9754117
663433	639154	1	1	9754117
663433	730454	1	1	9754117
605637	787557	1	1	9754368
305746	719488	1	1	9754445
305746	725195	1	1	9754445
439898	814051	1	1	9754485
770243	733283	1	1	9754520
766865	783421	1	1	9754587
766865	766865	1	1	9754587
766865	770243	1	1	9754587
766865	734819	1	1	9754587
394588	783200	1	1	9754863
575305	603944	1	1	9754945
575305	450207	1	1	9754945
622465	807431	1	1	9754980
622465	725140	1	1	9754980
778351	783421	1	1	9755115
778351	813216	1	1	9755115
809398	780681	1	1	9755138
809398	487605	1	1	9755138
377173	518741	1	1	9755175
377173	518741	1	1	9755175
377173	433389	1	1	9755175
377173	754165	1	1	9755175
377173	754165	1	1	9755175
736868	396471	1	1	9755289
736868	397013	1	1	9755289
736868	696662	1	1	9755289
781463	728167	1	1	9755372
253064	775443	1	1	9755587
253064	775443	1	1	9755587
597784	725140	1	1	9755593
804114	678986	1	1	9755652
804114	752038	1	1	9755652
804114	725140	1	1	9755652
785796	795571	1	1	9755828
785796	785796	1	1	9755828
813337	725140	1	1	9755954
754554	813757	1	1	9756191
756756	564749	1	1	9756308
756756	804114	1	1	9756308
793594	773297	1	1	9756381
253064	413922	1	1	9756474
795995	413922	1	1	9756571
756756	652529	1	1	9756648
476486	476486	1	1	9756864
253064	679850	1	1	9756865
433569	472245	1	1	9757011
433569	665254	1	1	9757011
433569	469234	1	1	9757011
433569	607280	1	1	9757011
807123	786820	1	1	9757059
297860	683989	1	1	9757133
297860	607280	1	1	9757133
677976	647575	1	1	9757307
564729	564729	1	1	9757327
516839	794395	1	1	9757338
795446	709353	1	1	9757469
529302	678301	1	1	9757689
687815	634458	1	1	9757833
687815	623362	1	1	9757833
687815	767098	1	1	9757833
687815	735132	1	1	9757833
687815	663764	1	1	9757833
682002	564729	1	1	9757857
682002	568638	1	1	9757857
682002	699891	1	1	9757857
682002	564729	1	1	9757857
539497	564729	1	1	9757864
539497	682301	1	1	9757864
